etcsl_no, text_name, l_no, text
c.1.8.2.4,Enmerkar and En-suhgir-ana,150,sux:sukkal[minister]N sux:Ansiga-ria[1]PN sux:iri[town]N sux:zig₃[to rise]V sux:šub[to fall]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,151,sux:lu₂[person]N sux:Ansiga-ria[1]PN sux:dug₄[to say]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,152,sux:X[X]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,153,sux:lugal[king]N sux:ad-da[father]N sux:gal[to be big]V sux:iri[town]N
c.1.8.2.4,Enmerkar and En-suhgir-ana,154,sux:libir[to be old]V sux:uš[foundation]N sux:ki[place]N sux:ŋar[to place]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,155,sux:ki[place]N sux:sukkal[minister]N sux:e₂-gal[palace]N sux:a-na-aš[why]AV sux:ŋar[to place]V sux:ad[voice]N sux:gi₄[to return]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,156,sux:ŋe₂₆[I]PD sux:id₂[watercourse]N sux:Unug[1]SN sux:ba-al[to dig]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,157,sux:itima[(sleeping) chamber]N sux:Aratta[1]SN sux:gu₂[neck]N sux:ŋar[to place]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,158,sux:inim[word]N sux:Unug[1]SN sux:tag[to touch]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,159,sux:erin₂[group of people]N sux:gal[to be big]V sux:sig[to be low]V sux:igi-nim[upper land]N sux:ab[sea]N sux:kur[(mountain) land]N sux:erin[cedar]N
c.1.8.2.4,Enmerkar and En-suhgir-ana,160,sux:igi-nim[upper land]N sux:kur[(mountain) land]N sux:šim[aromatic (fragrance)]N sux:erin[cedar]N sux:gu₂[neck]N sux:ŋar[to place]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,161,sux:Unug[1]SN sux:niŋ₂-gur₁₁[possessions]N sux:ni₂-bi[itself/ themselves]PD sux:ma₂[boat]N sux:gid₂[to be long]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,162,sux:ma₂[boat]N sux:la₂[to hang]V sux:E-zagin[1]TN sux:Aratta[1]SN
c.1.8.2.4,Enmerkar and En-suhgir-ana,163,sux:en[lord]N sux:hul₂[to be happy]V sux:ŋar[to place]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,164,sux:5[5]NU sux:ma-na[weight measure]N sux:kug-sig₁₇[gold]N sux:šum₂[to give]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,165,sux:5[5]NU sux:ma-na[weight measure]N sux:kug-babbar[silver]N sux:šum₂[to give]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,166,sux:u₂[plant]N sux:nir-ŋal₂[authoritative]AJ sux:gu₇[to eat]V sux:ba[to allot]V sux:dug₄[to say]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,167,sux:a[water]N sux:nir-ŋal₂[authoritative]AJ sux:naŋ[to drink]V sux:ba[to allot]V sux:dug₄[to say]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,168,sux:ud[day(light)]N sux:nam-ra[booty]N sux:lu₂[person]N sux:ak[to do]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,169,sux:zi[life (breath)]N sux:niŋ₂[thing]N sux:a-la[exuberance]N sux:šu[hand]N sux:he₂-ŋal₂[plenty]N sux:dug₄[to say]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,170,sux:maš-maš[sorcerer]N sux:engar[farmer]N sux:numun[seed]N sux:saŋ[head]N
c.1.8.2.4,Enmerkar and En-suhgir-ana,171,sux:Ereš[1]SN sux:iri[town]N sux:Nisaba[1]DN sux:ŋiri₃[foot]N sux:gub[to stand]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,172,sux:tur₃[animal stall]N sux:e₂[house(hold)]N sux:ab₂[cow]N sux:tuš[to sit]V sux:te[to approach]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,173,sux:ab₂[cow]N sux:tur₃[animal stall]N sux:saŋ[head]N sux:sag₃[to beat]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,174,sux:ab₂[cow]N sux:inim[word]N sux:dug₄[to say]V sux:lu₂-ulu₃[person]N sux:inim[word]N sux:bal[to turn over]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,175,sux:ab₂[cow]N sux:zu[to know]V sux:a-ba[who]PD sux:gu₇[to eat]V sux:zu[to know]V sux:a-ba[who]PD sux:naŋ[to drink]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,176,sux:i₃[fatty substance]N sux:gu₇[to eat]V sux:Nisaba[1]DN
c.1.8.2.4,Enmerkar and En-suhgir-ana,177,sux:ga[milk]N sux:naŋ[to drink]V sux:Nisaba[1]DN
c.1.8.2.4,Enmerkar and En-suhgir-ana,178,sux:ga-ar₃[cheese]N sux:suh₁₀[crown]N sux:kug[shining]AJ sux:galam[to be skilful]V sux:dug₄[to say]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,179,sux:unu₂[(dining) hall]N sux:gal[to be big]V sux:unu₂[(dining) hall]N sux:Nisaba[1]DN sux:me-te[(fitting) attribute]N sux:ŋal₂[to be (located)]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,180,sux:i₃[fatty substance]N sux:tur₃[animal stall]N sux:kug[shining]AJ sux:en-na[extent]N sux:de₆[to carry]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,181,sux:ga[milk]N sux:amaš[sheepfold]N sux:kug[shining]AJ sux:en-na[extent]N sux:de₆[to carry]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,182,sux:u₃-sumun₂[wild cow?]N sux:zid[right]AJ sux:Nisaba[1]DN sux:dumu-saŋ[first-born (child)]N sux:Enlil[1]DN sux:lu₂[person]N sux:zig₃[to rise]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,183,sux:ab₂[cow]N sux:zu[to know]V sux:si-muš₃[brilliance]N sux:zu[to know]V sux:murgu[back]N
c.1.8.2.4,Enmerkar and En-suhgir-ana,184,sux:ab₂[cow]N sux:i₃[fatty substance]N sux:si-muš₃[brilliance]N sux:BU[BU]V sux:ga[milk]N sux:murgu[back]N sux:BU[BU]V sux:ŋiri₃[foot]N
c.1.8.2.4,Enmerkar and En-suhgir-ana,185,sux:amaš[sheepfold]N sux:kug[shining]AJ sux:amaš[sheepfold]N sux:Nisaba[1]DN sux:te[to approach]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,186,sux:ud₅[(nanny) goat]N sux:amaš[sheepfold]N sux:saŋ[head]N sux:sag₃[to beat]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,187,sux:ud₅[(nanny) goat]N sux:inim[word]N sux:dug₄[to say]V sux:lu₂-ulu₃[person]N sux:inim[word]N sux:bal[to turn over]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,188,sux:ud₅[(nanny) goat]N sux:zu[to know]V sux:a-ba[who]PD sux:gu₇[to eat]V sux:zu[to know]V sux:a-ba[who]PD sux:naŋ[to drink]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,189,sux:i₃[fatty substance]N sux:gu₇[to eat]V sux:Nisaba[1]DN
c.1.8.2.4,Enmerkar and En-suhgir-ana,190,sux:ga[milk]N sux:naŋ[to drink]V sux:Nisaba[1]DN
c.1.8.2.4,Enmerkar and En-suhgir-ana,191,sux:ga-ar₃[cheese]N sux:suh₁₀[crown]N sux:kug[shining]AJ sux:galam[to be skilful]V sux:dug₄[to say]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,192,sux:unu₂[(dining) hall]N sux:gal[to be big]V sux:unu₂[(dining) hall]N sux:Nisaba[1]DN sux:me-te[(fitting) attribute]N sux:ŋal₂[to be (located)]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,193,sux:i₃[fatty substance]N sux:tur₃[animal stall]N sux:kug[shining]AJ sux:en-na[extent]N sux:de₆[to carry]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,194,sux:ga[milk]N sux:amaš[sheepfold]N sux:kug[shining]AJ sux:en-na[extent]N sux:de₆[to carry]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,195,sux:u₃-sumun₂[wild cow?]N sux:zid[right]AJ sux:Nisaba[1]DN sux:dumu-saŋ[first-born (child)]N sux:Enlil[1]DN sux:lu₂[person]N sux:zig₃[to rise]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,196,sux:ud₅[(nanny) goat]N sux:zu[to know]V sux:si-muš₃[brilliance]N sux:zu[to know]V sux:murgu[back]N
c.1.8.2.4,Enmerkar and En-suhgir-ana,197,sux:ud₅[(nanny) goat]N sux:i₃[fatty substance]N sux:si-muš₃[brilliance]N sux:BU[BU]V sux:ga[milk]N sux:murgu[back]N sux:e₃[to go out or in]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,198,sux:ud[day(light)]N sux:tur₃[animal stall]N sux:amaš[sheepfold]N sux:e₂[house(hold)]N sux:sig₉[to be silent]V sux:dug₄[to say]V sux:niŋ₂[thing]N sux:ha-lam[to be lost]V sux:ak[to do]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,199,sux:ubur[breast]N sux:ab₂[cow]N sux:ga[milk]N sux:ŋal₂[to be (located)]V sux:amar[calf]N sux:ud[day(light)]N sux:šu₂[to cover]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,200,sux:amar[calf]N sux:tur[to be small]V sux:šag₄-sug₄[emptiness]N sux:ŋal₂[to be (located)]V sux:er₂[tear]N sux:gig[to be ill]V sux:šeš₂[to weep]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,201,sux:ubur[breast]N sux:ud₅[(nanny) goat]N sux:ga[milk]N sux:ŋal₂[to be (located)]V sux:maš₂[(kid) goat]N sux:ud[day(light)]N sux:šu₂[to cover]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,202,sux:maš₂-ud₅-da[breeding goat]N sux:šag₄-ka-tab[fasting]N sux:nu₂[to lie down]V sux:zi[life (breath)]N
c.1.8.2.4,Enmerkar and En-suhgir-ana,203,sux:ab₂[cow]N sux:amar[calf]N sux:inim[word]N sux:gig[to be ill]V sux:dug₄[to say]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,204,sux:ud₅[(nanny) goat]N sux:maš₂[(kid) goat]N
c.1.8.2.4,Enmerkar and En-suhgir-ana,205,sux:šakir₃[churn]N sux:kug[shining]AJ sux:sig₉[to be silent]V sux:šag₄-sug₄[emptiness]N sux:ŋal₂[to be (located)]V sux:šag₄-ka-tab[fasting]N sux:nu₂[to lie down]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,206,sux:ud[day(light)]N sux:tur₃[animal stall]N sux:amaš[sheepfold]N sux:e₂[house(hold)]N sux:sig₉[to be silent]V sux:dug₄[to say]V sux:niŋ₂[thing]N sux:ha-lam[to be lost]V sux:ak[to do]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,207,sux:unud[herdsman]N sux:ešgiri₂[staff]N sux:šu[hand]N sux:taka₄[to leave behind]V sux:igi[eye]N sux:sag₃[to beat]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,208,sux:sipad[shepherd]N sux:šibir[shepherd's crook]N sux:zag[side]N sux:la₂[to hang]V sux:er₂[tear]N sux:gig[to be ill]V sux:šeš₂[to weep]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,209,sux:kabar[junior shepherd]N sux:tur[to be small]V sux:amaš[sheepfold]N sux:tur₃[animal stall]N sux:ŋiri₃[foot]N sux:kur₂[to be different]V sux:dab₅[to seize]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,210,sux:ga-il₂[milk carrier]N sux:ad[voice]N sux:gal[to be big]V sux:ed₃[to go down or up]V sux:sila[street]N sux:kur₂[to be different]V sux:dab₅[to seize]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,211,sux:unud[herdsman]N sux:sipad[shepherd]N sux:Nisaba[1]DN
c.1.8.2.4,Enmerkar and En-suhgir-ana,212,sux:dumu[child]N sux:tud[to give birth]V sux:ama[mother]N sux:dili[single]AJ
c.1.8.2.4,Enmerkar and En-suhgir-ana,213,sux:tur₃[animal stall]N sux:amaš[sheepfold]N sux:a₂[arm]N sux:e₃[to go out or in]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,214,sux:1-kam-ma[1st]NU sux:Maš-gula[1]PN sux:mu[name]N sux:me[to be]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,215,sux:2-kam-ma[2nd]NU sux:Ur-edina[1]PN sux:mu[name]N sux:me[to be]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,216,sux:2[2]NU sux:kan₄[gate]N sux:mah[to be majestic]V sux:igi[eye]N sux:Utu[1]DN sux:e₃[to go out or in]V sux:ki[place]N sux:u₆[wonder]N sux:dug₄[to say]V sux:kalam[the Land]N
c.1.8.2.4,Enmerkar and En-suhgir-ana,217,sux:sahar-tu₁₁[debris]N sux:tuš[to sit]V sux:Utu[1]DN sux:an[heaven]N sux:gi₄[to return]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,218,sux:maš-maš[sorcerer]N sux:lu₂[person]N sux:Aratta[1]SN sux:tur₃[animal stall]N sux:kur₉[to enter]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,219,sux:tur₃[animal stall]N sux:gara₂[cream]N sux:kal[to be rare]V sux:amar[calf]N sux:tur[to be small]V sux:ri[to direct]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,220,sux:tur₃[animal stall]N sux:amaš[sheepfold]N sux:niŋ₂-gig[abomination]N sux:ak[to do]V sux:i₃[fatty substance]N sux:ga[milk]N sux:kal[to be rare]V sux:la₂[to hang]V sux:la₂[to hang]V sux:ga[milk]N sux:ud₅[(nanny) goat]N sux:kal[to be rare]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,221,sux:šub[to fall]V sux:niŋ₂[thing]N sux:ha-lam[to be lost]V sux:ak[to do]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,222,sux:te[to approach]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,223,sux:ŋal₂[to be (located)]V sux:igi[eye]N sux:niŋin₂[to go around]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,224,sux:Ereš[1]SN sux:gur[to turn]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,225,sux:gu₂[neck]N sux:Euphrates[1]WN sux:id₂[watercourse]N sux:mah[to be majestic]V sux:ŋal₂[to be (located)]V sux:id₂[watercourse]N sux:diŋir[deity]N
c.1.8.2.4,Enmerkar and En-suhgir-ana,226,sux:iri[town]N sux:nam[destiny]N sux:tar[to cut]V sux:An[1]DN sux:Enlil[1]DN sux:ŋiri₃[foot]N sux:gub[to stand]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,227,sux:um-ma[experienced woman]N sux:Saŋburu[1]PN sux:šu[hand]N
c.1.8.2.4,Enmerkar and En-suhgir-ana,228,sux:2[2]NU sux:agargara[fish spawn]N sux:id₂[watercourse]N sux:šub[to fall]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,229,sux:maš-maš[sorcerer]N sux:suhur[type of carp]N sux:gal[to be big]V sux:a[water]N sux:e₃[to go out or in]V sux:ed₃[to go down or up]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,230,sux:um-ma[experienced woman]N sux:Saŋburu[1]PN sux:hu-ri₂-in[eagle]N sux:a[water]N sux:e₃[to go out or in]V sux:ed₃[to go down or up]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,231,sux:hu-ri₂-in[eagle]N sux:suhur[type of carp]N sux:gal[to be big]V sux:kar[to flee]V sux:hur-saŋ[mountain (range)]N sux:kur₉[to enter]V sux:a-ŋi₆[flooding]N sux:kar[to flee]V sux:an[heaven]N sux:ed₃[to go down or up]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,232,sux:2-kam-ma[2nd]NU sux:agargara[fish spawn]N sux:id₂[watercourse]N sux:šub[to fall]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,233,sux:maš-maš[sorcerer]N sux:u₈[ewe]N sux:sila₄[lamb]N sux:a[water]N sux:e₃[to go out or in]V sux:ed₃[to go down or up]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,234,sux:um-ma[experienced woman]N sux:Saŋburu[1]PN sux:ur-bar-ra[wolf]N sux:a[water]N sux:e₃[to go out or in]V sux:ed₃[to go down or up]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,235,sux:ur-bar-ra[wolf]N sux:u₈[ewe]N sux:sila₄[lamb]N sux:kar[to flee]V sux:edin[open country]N sux:daŋal[to be wide]V sux:ur₃[to drag]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,236,sux:3-kam-ma[3rd]NU sux:agargara[fish spawn]N sux:id₂[watercourse]N sux:šub[to fall]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,237,sux:maš-maš[sorcerer]N sux:ab₂[cow]N sux:amar[calf]N sux:a[water]N sux:e₃[to go out or in]V sux:ed₃[to go down or up]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,238,sux:um-ma[experienced woman]N sux:Saŋburu[1]PN sux:ur-mah[lion]N sux:a[water]N sux:e₃[to go out or in]V sux:ed₃[to go down or up]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,239,sux:ur-mah[lion]N sux:ab₂[cow]N sux:amar[calf]N sux:kar[to flee]V sux:ŋiš-gi[reedbed]N sux:kur₉[to enter]V sux:ur₃[to drag]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,240,sux:4-kam-ma[4th]NU sux:agargara[fish spawn]N sux:id₂[watercourse]N sux:šub[to fall]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,241,sux:maš-maš[sorcerer]N sux:šeg₉[wild sheep?]N sux:šeg₉-bar[fallow deer?]N sux:a[water]N sux:e₃[to go out or in]V sux:ed₃[to go down or up]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,242,sux:um-ma[experienced woman]N sux:Saŋburu[1]PN sux:nemurₓ[leopard]N sux:hur-saŋ[mountain (range)]N sux:a[water]N sux:e₃[to go out or in]V sux:ed₃[to go down or up]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,243,sux:nemurₓ[leopard]N sux:šeg₉[wild sheep?]N sux:šeg₉-bar[fallow deer?]N sux:kar[to flee]V sux:hur-saŋ[mountain (range)]N sux:kur₉[to enter]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,244,sux:5-kam-ma[5th]NU sux:agargara[fish spawn]N sux:id₂[watercourse]N sux:šub[to fall]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,245,sux:maš-maš[sorcerer]N sux:amar[calf]N sux:maš-da₃[gazelle]N sux:a[water]N sux:e₃[to go out or in]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,246,sux:um-ma[experienced woman]N sux:Saŋburu[1]PN sux:ur-šub₅[tiger]N sux:ur-nim[lion]N sux:a[water]N sux:e₃[to go out or in]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,247,sux:ur-šub₅[tiger]N sux:ur-nim[lion]N sux:amar[calf]N sux:maš-da₃[gazelle]N sux:kar[to flee]V sux:tir[forest]N sux:kur₉[to enter]V sux:ur₃[to drag]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,248,sux:maš-maš[sorcerer]N sux:igi[eye]N sux:ku₁₀-ku₁₀[to be dark]V sux:dim₂-ma[reasoning]N sux:suh₃[to blur]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,249,sux:um-ma[experienced woman]N sux:Saŋburu[1]PN sux:gu₃[voice]N sux:de₂[to pour]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,250,sux:maš-maš[sorcerer]N sux:nam-maš-maš[sorcerer's craft]N sux:he₂-ŋal₂[plenty]N sux:dim₂-ma[reasoning]N sux:me-a[where]AV
c.1.8.2.4,Enmerkar and En-suhgir-ana,251,sux:a-na-gin₇[how]AV sux:Ereš[1]SN sux:iri[town]N sux:Nisaba[1]DN
c.1.8.2.4,Enmerkar and En-suhgir-ana,252,sux:iri[town]N sux:nam[destiny]N sux:tar[to cut]V sux:An[1]DN sux:Enlil[1]DN
c.1.8.2.4,Enmerkar and En-suhgir-ana,253,sux:iri[town]N sux:ul[distant time]N sux:iri[town]N sux:ki[place]N sux:aŋ₂[to measure]V sux:Ninlil[1]DN
c.1.8.2.4,Enmerkar and En-suhgir-ana,254,sux:nam-maš-maš[sorcerer's craft]N sux:ak[to do]V sux:a-gin₇[type of manner adverbial]AV sux:ŋen[to go]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,255,sux:maš-maš[sorcerer]N sux:gi₄[to return]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,256,sux:zu[to know]V sux:ŋen[to go]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,257,sux:nam-gur₄[magnitude]N sux:zu[to know]V sux:sis[to be bitter]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,258,sux:šu[hand]N sux:giri₁₇[nose]N sux:ŋal₂[to be (located)]V sux:šudu₃[prayer]N sux:ša₄[verb part of multiword verb]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,259,sux:šu[hand]N sux:ba[to allot]V sux:nin[lady]N sux:šu[hand]N sux:ba[to allot]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,260,sux:silim[to be healthy]V sux:iri[town]N sux:ŋen[to go]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,261,sux:Aratta[1]SN sux:kur[(mountain) land]N sux:me[essence]N sux:sikil[to be pure]V sux:zi[life (breath)]N sux:de₆[to carry]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,262,sux:nam-mah[majesty]N sux:kur[(mountain) land]N sux:zu[to know]V sux:dug₄[to say]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,263,sux:Aratta[1]SN sux:kur[(mountain) land]N sux:me[essence]N sux:sikil[to be pure]V sux:ka[mouth]N sux:tar[to cut]V sux:si-il[to split apart]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,264,sux:um-ma[experienced woman]N sux:Saŋburu[1]PN sux:gi₄[to return]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,265,sux:tur₃[animal stall]N sux:amaš[sheepfold]N sux:niŋ₂-gig[abomination]N sux:ak[to do]V sux:i₃[fatty substance]N sux:ga[milk]N sux:kal[to be rare]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,266,sux:banšur[(offering) table]N sux:an-bar₇[midday]N sux:banšur[(offering) table]N sux:kiŋ₂-nim[morning meal]N sux:kiŋ₂-sig[late afternoon meal]N sux:sud[to be distant]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,267,sux:kiŋ₂-sig[late afternoon meal]N sux:unu₂[(dining) hall]N sux:gal[to be big]V sux:i₃[fatty substance]N sux:ga[milk]N sux:kud[to cut]V sux:niŋ₂-gig[abomination]N
c.1.8.2.4,Enmerkar and En-suhgir-ana,268,sux:nam-tag[sin]N sux:i₃[fatty substance]N sux:ga[milk]N sux:de₆[to carry]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,269,sux:Nanna[1]DN sux:lugal[king]N sux:amaš[sheepfold]N sux:šum₂[to give]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,270,sux:šer₇-da[crime]N sux:ŋar[to place]V sux:zi[life (breath)]N sux:šum₂[to give]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,271,sux:um-ma[experienced woman]N sux:Saŋburu[1]PN sux:maš-maš[sorcerer]N sux:unken[assembly]N sux:inim[word]N sux:sag₃[to beat]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,272,sux:šaŋa[to be oppressed]V sux:gu₂[neck]N sux:Euphrates[1]WN sux:šub[to fall]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,273,sux:zi[life (breath)]N sux:nam-til₃[life]N sux:kar[to flee]V sux:iri[town]N sux:Ereš[1]SN sux:gur[to turn]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,274,sux:En-suhgir-ana[1]RN sux:inim[word]N sux:ŋiš[tree]N sux:tuku[to have]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,275,sux:Enmerkar[1]RN sux:lu₂[person]N sux:gi₄[to return]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,276,sux:za[you (sg.)]PD sux:en[lord]N sux:ki[place]N sux:aŋ₂[to measure]V sux:Inana[1]DN sux:dili[single]AJ sux:mah[to be majestic]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,277,sux:Inana[1]DN sux:ur₂[root]N sux:kug[shining]AJ sux:zid[right]AJ sux:pad₃[to find]V sux:ki[place]N sux:aŋ₂[to measure]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,278,sux:sig[to be low]V sux:igi-nim[upper land]N sux:en[lord]N sux:gal[to be big]V sux:za[you (sg.)]PD sux:ŋe₂₆[I]PD sux:us₂[to be adjacent]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,279,sux:a[water]N sux:ri[to direct]V sux:gaba-ri[equal]N sux:me[to be]V sux:šeš-gal[elder brother]N sux:za[you (sg.)]PD
c.1.8.2.4,Enmerkar and En-suhgir-ana,280,sux:ŋe₂₆[I]PD sux:sa₂[to equal]V sux:ud[day(light)]N sux:da-ri₂[eternal]AJ
c.1.8.2.4,Enmerkar and En-suhgir-ana,281,sux:Enmerkar[1]RN sux:En-suhgir-ana[1]RN sux:a-da-min₃[contest]N sux:dug₄[to say]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,282,sux:Enmerkar[1]RN sux:En-suhgir-ana[1]RN sux:dirig[to be superior]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,283,sux:Nisaba[1]DN sux:za₃-mi₂[praise]N
c.1.8.2.4,Enmerkar and En-suhgir-ana,300,
c.1.8.2.4,Enmerkar and En-suhgir-ana,301,
c.1.8.2.4,Enmerkar and En-suhgir-ana,302,sux:dug₄[to say]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,303,sux:maš-maš[sorcerer]N sux:ki[place]N sux:en[lord]N sux:lu₂[person]N sux:kur₉[to enter]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,304,sux:Ur-ŋiri-nuna[1]PN sux:ki[place]N sux:en[lord]N sux:lu₂[person]N sux:kur₉[to enter]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,305,sux:maš-maš[sorcerer]N sux:sukkal[minister]N sux:Ansiga-ria[1]PN sux:dug₄[to say]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,306,
